order_id,customer_id,amount,category,channel,order_date
O5001,C2001,1500,Electronics,Online,2023-06-15T10:00:00Z
O5002,C2002,4500,Apparel,In-Store,2023-06-20T14:30:00Z
O5003,C2003,2200,Home,Online,2023-07-05T09:15:00Z
O5004,C2004,8000,Beauty,Online,2023-07-22T16:45:00Z
O5005,C2005,1200,Electronics,In-Store,2023-08-10T11:20:00Z
O5006,C2006,3500,Apparel,Online,2023-08-28T13:10:00Z
O5007,C2007,6000,Home,In-Store,2023-09-15T15:40:00Z
O5008,C2008,900,Beauty,Online,2023-10-02T10:05:00Z
O5009,C2009,2800,Electronics,Online,2023-10-20T14:50:00Z
O5010,C2010,5500,Apparel,In-Store,2023-11-05T09:25:00Z
O5011,C2011,1800,Home,Online,2023-11-25T16:15:00Z
O5012,C2012,4200,Beauty,In-Store,2023-12-12T11:30:00Z
O5013,C2013,7500,Electronics,Online,2024-01-08T13:40:00Z
O5014,C2014,3100,Apparel,Online,2024-01-25T15:10:00Z
O5015,C2015,1100,Home,In-Store,2024-02-14T10:55:00Z
O5016,C2016,6500,Beauty,Online,2024-03-05T14:20:00Z
O5017,C2017,2500,Electronics,In-Store,2024-03-22T09:00:00Z
O5018,C2018,4800,Apparel,Online,2024-04-10T16:35:00Z
O5019,C2019,8500,Home,Online,2024-04-28T11:50:00Z
O5020,C2020,1900,Beauty,In-Store,2024-05-15T13:25:00Z
O5021,C2001,3200,Apparel,Online,2024-06-01T10:30:00Z
O5022,C2002,1500,Beauty,In-Store,2024-06-05T14:45:00Z
O5023,C2004,5000,Electronics,Online,2024-06-10T09:10:00Z
O5024,C2008,2100,Home,Online,2024-06-12T16:20:00Z
O5025,C2015,4000,Apparel,In-Store,2024-06-14T11:00:00Z
